Feature,Importance
customerID,0.12740617669712107
gender,0.022723831867278946
SeniorCitizen,0.01760610483380535
Partner,0.01959149653117536
Dependents,0.017375600983374262
tenure,0.13839221755809142
PhoneService,0.005449638115212963
MultipleLines,0.020795347696440734
InternetService,0.025196313413699503
OnlineSecurity,0.04430794594088199
